F1	An authenticator handles the authentication challenge/response cycles of a single connection.
F35	"Cassandra 1.0 introduces support for data compression on a per-ColumnFamily basis, one of the most-requested features since the project started. Compression maximizes the storage capacity of your Cassandra nodes by reducing the volume of data on disk."
F36	A snitch maps IPs to racks and data centers. It defines how the nodes are grouped together within the overall network topology.  A snitch determines which data centers and racks nodes belong to. Snitches inform Cassandra about the network topology so that requests are routed efficiently and allows Cassandra to distribute replicas by grouping machines into data centers and racks.
F37	"By default, all snitches also use a dynamic snitch layer that monitors read latency and, when possible, routes requests away from poorly-performing nodes. The dynamic snitch is enabled by default and is recommended for use in most deployments."
F38	The SimpleSnitch (the default) does not recognize data center or rack information. Use it for single-data center deployments (or single-zone in public clouds).
F39	"The RackInferringSnitch determines the location of nodes by rack and data center, which are assumed to correspond to the 3rd and 2nd octet of the node's IP address, respectively. Use this snitch as an example of writing a custom Snitch class."
F40	"This snitch uses a user-defined description of the network details located in the cassandra-topology.properties file. Use this snitch when your node IPs are not uniform or if you have complex replication grouping requirements. When using this snitch, you can define your data center names to be whatever you want.?
F41	Use the Ec2Snitch for simple cluster deployments on Amazon EC2 where all nodes in the cluster are within a single region. The region is treated as the data center and the availability zones are treated as racks within the data center.?
F42	"Use the EC2MultiRegionSnitch for deployments on Amazon EC2 where the cluster spans multiple regions. As with the Ec2Snitch, regions are treated as data centers and availability zones are treated as racks within a data center.?
F43	"A new connection between nodes will either stream or message, determining the connection type."
F44	All ports in cassandra are TCP.
F45	"Cassandra uses one thread-per-client for remote procedure calls. For a large number of client connections, this can cause excessive memory usage for the thread stack. cassandra defines a scheduler to handle incoming client requests according to a defined policy. This scheduler only applies to client requests, not inter-node communication."
F46	Cassandra has A Factory for providing and setting up Client and Server SSL wrapped Socket and ServerSocket.
F47	In cassandrathe Thrift interface is a legacy API for older clients. Thrift is an interface definition language and binary communication protocol that is used to define and create services for numerous languages. It is used as a remote procedure call (RPC) framework. 
F48	"Streaming is a component which handles data (part of SSTable file) exchange among nodes in the cluster. When you bootstrap a new node, it gets data from existing nodes using streaming."
F49	"Update CQL to generate microsecond timestamps by default. cassandra-cli use micro second timestamp, but CQL use milli second. cassandra-cli set micro second timestamp by FBUtilities.timestampMicros. But CQL insert or update operation set milli second timestamp by AbstractModification.getTimestamp. If you register data by cassandra-cli, you can't update data by CQL. Because CQL timestamp is judged as past time."
F50	"Fix counting CFMetadata towards Memtable liveRatio. NPE in describe_ring. I have a 2 DC, 2 node per DC cluster. DC1 had it's seed replaced but I hadn't restarted. I upgraded to 0.8.4 in the following fashion: -edited seeds -stopped both DC1 nodes -upgraded jars -started both nodes at the same time The non-seed node came up first and showed the following error. Then when the seed node came up, the error went away on the non-seed node but started occurring on the seed node."
F51	"Kill server on wrapped OOME such as from FileChannel.map. When a mmap fails, Cassandra should exit. "
F52	"remove unnecessary copy when adding to row cache. probably don't need to do full copy to row cache after un-mmap() change. If so, maybe slightly better performance in both speed and memory"
F53	Log message when a full repair operation completes. Log message at INFO when a global or keyspace level repair operation completes. If JMX times out it's difficult to tell when repair completes.Right now we log at DEBUG for each column family but we need a way to tell when the repair operation completes as a whole.
F54	"Fix streamOutSession keeping sstables references forever if the remote end dies. A streamOutSession keeps sstables references forever if the remote end dies. A streamOutSession acquire a reference on the sstable it will stream and release them as soon as each sstable has been fully streamed. However, since a stream session has currently no means to know when it failed, we'll keep references indefinitely (meaning until next restart) if their is a failure. One way a stream session could very easily fail is if the remote end dies. We must make sure we correctly release sstable references when that happens."
F55	"Remove dynamic_snitch boolean from example configuration (defaulting to true) and set default badness threshold to 0.1. Remove ability to disable dynamic snitch entirely. We've moved dynamic snitch from ""new, default to off"" to ""well tested, default to true,"" and it's time now to take the next step to ""there is no reason to disable it, and keeping the option around just lets people shoot their foot off."""
F56	"Base choice of random or ""balanced"" token on bootstrap on whether schema definitions were found. Nodes started at the same time end up with the same token. Since auto boostrap is defaulted to on when you start a cluster at once, you can end up with nodes being assigned the same token."
F57	"Fixes for LeveledCompactionStrategy score computation, prioritization, scheduling, and performance. LeveledCompactionStrategy is too complacent. BF size calculation doesn't take into account LCS breaking the output apart into ""bite sized"" sstables, so memory use is much higher than predicted. ManyToMany merging is slow. At least part of this is from running the full reducer machinery against single input sources, which can be optimized away."
F58	parallelize sstable open at server startup. Improve SSTableReader.load() when loading index files. 
F59	fix handling of exceptions writing to Outbound Tcp Connection. Outbound Tcp Connection throws RuntimeException.
F60	"Allow using quotes in ""USE &lt;keyspace&gt;;"" CLI command. In the CLI USE &lt;keyspace&gt; doesn't work for numeric keyspaces."
F61	"Don't allow any cache loading exceptions to halt startup. Failure reading a erroneous/spurious AutoSavingCache file can result in a failed application of a migration, which can prevent a node from reaching schema agreement."
F62	Fix sstableloader --ignores option. sstableloader ignores option doesn't work correctly. The --ignores option is supposed to take an argument but it doesn't.
F63	"File descriptor limit increased in packaging. increase file descriptor limit in deb, rpm packages. "
F64	Fix deadlock in commit log during flush. inherent deadlock situation in commitLog flush.
F65	Log a meaningful warning when a node receives a message for a repair session that doesn't exist anymore. AssertionError when repairing a node. 
F66	"test for NUMA policy support as well as numactl presence. Don't fail when numactl is installed, but NUMA policies are not supported."
F67	Fix FD leak when internode encryption is enabled. Enabling SSL on a fairly light cluster leaks Open files.
F68	MergeIterator.get assert that it don't get an empty list of sources.Remove incorrect assertion in mergeIterator. MergeIterator assertion on sources != empty can be thrown. 
F69	FBUtilities.hexToBytes(String) to throw NumberFormatException when string contains non-hex characters. CQL does not throw an error when invalid hex is supplied
F70	"Keep SimpleSnitch proximity ordering unchanged from what the Strategy generates, as intended. Simple Snitch.compareEndpoints doesn't respect the intent of the snitch. SimpleSnitch is supposed to not sort the input addresses, thus respecting the order of the partitioner. "
F71	"remove Scrub from compactionstats when finished. Sstable scrub status persists in compactionstats after scrub is complete. When scrubbing the sstables on a node, the 'Scrub' info persists in the 'compactionstats' nodetool utility, even after the scrub is complete."
F72	fix counter entry in jdbc TypesMap. Cannot read counter value from jdbc cql. 
F73	fix full queue scenario for ParallelCompactionIterator. Error during multi-threaded compaction. I'm running 0.8.6 plus the multi-threaded compaction patch in issue 2901. I'm getting an error compacting
F74	"fix bootstrap process. Bootstrap is broken in 1.0.0-rc1.  the condition to bootstrap is that there are non-system tables instead, a not is missing, and the setToken() was wrongly push up into the ""I'm not bootstrapping"" block so a boostrapping node was left in the joining state."
F75	don't try delivering hints if when there isn't any. Disabling hinted handoff counterintuitively continues to log handoff messages. 
F76	CLI documentation change for ColumnFamily `compression_options`. CLI does not support removing compression options from a ColumnFamily
F77	ignore any CF ids sent by client for adding CF/KS. CfDef can default to an invalid id and fail during system_add_column_family.
F78	remove obsolete hints on first startup. 1.0 needs to clean out old-style hints. 
F79	"use correct ISortedColumns for time-optimized reads. assert err on ArrayBackedSortedColumns.addColumn. every thing is flushed to the sstables, but not in the same sstables, and the columns are in some what 'random' form."
F80	Evict gossip state immediately when a token is taken over by a new IP. Replace token leaves the old node state in tact causing problems in cli. in the replace token patch we dont evict the node from the Gossip which will leave the node lingering around and causes issues in cli (UNReachable nodes) As a part of the replace token if the token is replaced with another token we should remove the old nodes Gossip states.
F81	close scrubbed sstable fd before deleting it. Unable to delete after running scrub. Another problem with sstable deletions on 1.0. Running scrub produces lot of unable to delete messages on windows.
F82	"fix bug preventing obsolete commitlog segments from being removed. possible early deletion of commit logs. I ran my cluster for about 2 days. the cluster has 2 nodes. I restarted one box several times, and the other one was always running. the one always running ended up accumulating 100GB of commit logs."
F83	"tolerate whitespace in seed CDL. Whitespace in SimpleSeedProvider string makes seed ignored. If a seeds given to SimpleSeedProvider contains whitespace, the seed will be ignored."
F84	"Change default heap thresholds to max(min(1/2 ram, 1G), min(1/4 ram, 8GB)). reduce default heap size. With off-heap caching now the default and with auto-flushed memtables demonstrated to do a good job with smaller heaps, I think it's time to reduce heap sizes to decrease GC pause times."
F85	Fix broken CompressedRandomAccessReaderTest. CompressedRandomAccessReaderTest fails on Windows. 
F86	"(CQL) fix type information returned for wildcard queries. cqlsh: Error running ""select *"" vs ""select all columns"""
F87	add estimated tasks to LeveledCompactionStrategy. add estimated tasks to LeveledCompactionStrategy
F88	"avoid including compaction cache-warming in keycache stats. Compaction degrades key cache stats. When ""compaction_preheat_key_cache"" is set to true, then during compaction, it keep tracks of cached keys to to re-cache their new position. It does this by calling the following method on every key of the compacted sstable : sstable.getCachedPosition(row.key) which also update cache stats, thus lowering hit rate"
F89	"run compaction and hinted handoff threads at MIN_PRIORITY. Add compaction_thread_priority back. This turns out to be false in the majority of deployments. In many (if not most) situations, compaction is actually CPU bound, not IO bound, so multithreaded compaction is generally helpful, but the priority needs to be lowered in order to prevent it from stealing CPU used for reads/writes."
F90	default hsha thrift server to cpu core count in rpc pool. make HSHA the default Thrift server. HSHA has been an option since 0.8.3.
F91	"add bin\daemon to binary tarball for Windows service. Apache Daemon missing from the binary tarball. Apparently the tools used to run the binary release are missing from the binary tarball. I will verify that they are in the 1.0 branch, then update the ticket so we can ensure that they are included."
F92	Fix places where uncompressed size of sstables was use in place of the compressed one. Uncompressed sizes are used to estimate space for compaction of compressed sstables. We are using the uncompressed data size when estimating if we have enough to compact sstables. This means we can easily refuse compaction when there is clearly enough room to compact. 
F93	Fix hsha thrift server. HsHa broken at startup.
F94	"Make sure repair only stream needed sstables. Repair still streams unnecessary sstables. unfortunately got committed with the use of the wrong streaming method, the one that stream all the sstables of the keyspace."
F95	"acquire references during index build to prevent delete problems on Windows. Fail to delete -Index files if index is currently building. If there is index building in progress, following errors are thrown if cassandra is trying to delete *-Index.db files."
F96	"describe_ring should include datacenter/topology information. describe_ring should include datacenter/topology information. describe_ring is great for getting a list of nodes in the cluster, but it doesn't provide any information about the network topology which prevents it's use in a multi-dc setup. It would be nice if we added another list to the TokenRange object containing the DC information."
F97	Thrift sockets are not properly buffered. Thrift sockets are not buffered properly. adds back BufferedInputStream and BufferedOutputStream to TSocket in new TCustomSocket class. 
F98	performance improvement for bytebufferutil compare function. Performance issue in ByteBufferUtil. Profiling 1.0 we can see ByteBufferUtil.compareUnsigned is slow. We can avoid the problem when the ByteBuffer has a backing array.
F99	"add system.versions ColumnFamily. Expose server, api versions to CQL. Need to expose the CQL api version; might as well include the server version while we're at it."
F100	reduce network copies. remove more copies from read/write network path. RowMutation.serializedBuffer and ReadVerbHandler both do an extra copy of the serialized data. We can avoid this be pre-computing the serialized size and allocating an appropriate buffer. ReadResponseSerializer doesn't compute serialized size correctly
F101	limit nodetool to 32MB of heap. java heap limit for nodetool
F102	"(CQL) update parser to accept ""timestamp"" instead of ""date"". Update CQL type names to match expected (SQL) behavor. "
F103	"Fix CLI `show schema` to include ""compression_options"". show schema' in cli does not show compression_options. using the cassandra-cli command line tool, I realized that a 'show schema' does not print out the compression_options I specified when creating them."
F104	Snapshot to include manifest under LeveledCompactionStrategy. snapshot should include manifest under leveledcompaction
F105	(CQL) SELECT query should allow CF name to be qualified by keyspace. CQL queries should alow talbe names to be qualified by keyspace. 
F106	(CQL) Fix internal application error specifying 'using consistency ...' in lower case. CQL: Internal application error specifying 'using consistency ...' in lower case; must be upper case.
F107	fix Deflate compression when compression actually makes the data bigger. Deflate Compression corrupts SSTables. it seems that the Deflate Compressor corrupts the SSTables. 3 out of 3 Installations were corrupt. Snappy works fine.
F108	optimize UUIDGen to avoid lock contention on InetAddress.getLocalHost. unnecessary locking in hint path due to InetAddress.getLocalhost().
F109	tolerate index being dropped mid-mutation. dropping index causes some inflight mutations to fail. dropping index causes some inflight mutations to fail. hector on client side didnt throw any exception. Cancelling index build throws assert error
F110	"CompactionManager is now responsible for checking for new candidates post-task execution, enabling more consistent leveled compaction. CFM.toAvro() incorrectly serialises key_validation_class defn. "
F111	Cache HSHA threads. Make HSHA cached threads. JDK's newCachedTP does the following.
F112	use CF/KS names as snapshot prefix for drop + truncate operations. Enhance human-readability of snapshot names created by drop column family.
F113	"Break bloom filters up to avoid heap fragmentation. bloom filters should avoid huge array allocations to avoid fragmentation concerns.The fact that bloom filters are backed by single large arrays of longs is expected to interact badly with promotion of objects into old gen with CMS, due to fragmentation concerns"
F114	fix cassandra hanging on jsvc stop. stop Cassandra result in hang. 
F115	"Avoid leveled compaction getting blocked on errors. LeveledCompactionTask is too fragile and can block compactions. If any error happens during a LeveledCompactionTask, it will just block every compaction."
F116	"Make reloading the compaction strategy safe. CFS reloading of the compaction strategy is done for every metadata update and is not thread safe. The reloading of the compaction strategy done during CFS.reload is not thread safe. In particular, this is a problem for leveled compactions."
F117	ignore 0.8 hints even if compaction begins before we try to purge them. NPE in hinted handoff. 
F118	remove procrun (bin\daemon) from Cassandra source tree and artifacts. Apache Daemon missing from the binary tarball
F119	make cassandra compile under JDK7. Currently system won't compile under JDK 7 because of errors in CQL JDBC component.
F120	"remove dependency of clientutil.jar to FBUtilities. clientutil depends on FBUtilities. clientutils' (indirect )dependency on FBUtilities (needed for tests) would result in huge numbers of classes being pulled in transitively.The attached patch moves the bytesToHex and hexToBytes methods into a new class (o.a.c.utils.Hex), which has no external dependencies."
F121	"avoid truncation errors by using long math on long values. use long math, if you want long results. Code calculates long values, using integer intermediate input, which can cause truncation errors, safer just to use long input."
F122	"avoid clock drift on some Windows machine. Avoid clock drift on some Windows machines. Performing Thread.sleep() with non-rounded values increases the frequency of interrupts on Windows machines; this can cause performance problems, and on some machines even clock drift problems for the duration of the sleep."
F123	"display cache provider in cli 'describe keyspace' command. it would be nice if ""describe keyspace"" in cli shows ""Cache Provider"". Describe keyspace in the cli doesn't show the cache provider it would be nice to show it to verify the settings."
F124	"fix incomplete topology information in describe_ring. describe_ring topology information is wrong/incomplete.  topology information was added to describe_ring, however it asks the gossiper for the DC information, and the gossiper can only have this with a gossip-enabled snitch, which currently means the Ec2Snitch. Instead, it should be asking the snitch for the DC for each endpoint."
F125	"expire dead gossip states based on time. Expire dead gossip states based on time. Currently dead states are held until aVeryLongTime, 3 days. The problem is that if a node reboots within this period, it begins a new 3 days and will repopulate the ring with the dead state."
F126	"improve CompactionTask extensibility. CompactionTask is still fairly coupled to SizeTieredCompaction, including some ugly casting."
F127	"Allow one leveled compaction task to kick off another. Allow one leveled compaction task to kick off another. Leveled compaction wants to prevent multiple tasks from running at once, but this check also defeats the ""kick off another compaction if there is more work to do"" code in CompactionTask. So currently LCS relies completely on the every-five-minutes compaction check, which is not enough to keep up with heavy insert load."
F128	allow encryption only between datacenters. Enable encryption for data across the DC only. Make DC level Encryption option. 1) Modify EncryptionOptions to add inter_dc option. 2) Modify OutboundTCPConnection.connect() to check if it is in the same DC and if the encryption option is enabled.
F129	fix truncate allowing data to be replayed post-restart. truncate can still result in data being replayed after a restart.
F130	make iwriter final in IndexWriter to avoid NPE. NPE when writing SSTable generated via repair. A NPE is generated during repair when closing an sstable generated via SSTable build. It doesn't happen always. The node had been scrubbed and compacted before calling repair.
F131	(CQL) update grammar to require key clause in DELETE statement. NPE on malformed CQL. 
F132	"(CQL) allow numeric keyspace names in USE statement. Can't USE numeric keyspace names in CQL. Cassandra allows keyspace names to start with a digit or an underscore (see o.a.c.db.migration.Migration.isLegalName), but CQL's USE statement only accepts a CQL identifier, which must start with a letter. So there's no way to use a keyspace named ""142"" or ""_hi_"" in CQL"
F133	(Hadoop) skip empty rows when slicing the entire row. Skip rows with empty columns when slicing entire row. We have been finding that range ghosts appear in results from Hadoop via Pig.
F134	"Fix handling of tombstone by SSTableExport/Import. SSTableImport/Export don't handle tombstone well if value validation != BytesType. SSTableImport/Export use the value validator even on tomstone, but for those the value is the local deletion time, so this don't necessarily validate (with UTF8Type for instance)"
F135	fix ColumnIndexer to use long offsets. 2GB row size limit in ColumnIndex offset calculation. Index offset is calculated using int instead of long resulting in overflow at 2GB row size. As a result affected columns can not be retrieved.
F136	Improved CLI exceptions. need initClause when catch Exception and throw new Exception in cli. we added initCause to the Cli such that we could see more meaningful exception stacktrace when certain exception is thrown.
F137	Only count compaction as active (for throttling) when they have successfully acquired the compaction lock. Compaction throttling can be too slow. Compaction throttling needs to know how many active compactions are running (to divide bandwith for each active compaction). The way active compaction is counted can be broken because it counts the number of active threads in the executor BUT the thread starts by acquiring a lock.
F138	"Display CLI version string on startup. Cassandra-CLI command should have --version option. Implementing ""cassandra-cli --version"" command line option would make it easier to write bug reports and check the versions of tools in use. Or if you want to make it a CLI command inside the tool, I don't know. --version option seems to be the standard way."
F139	"Hadoop) make CFIF try rpc_address or fallback to listen_address. Make CFIF use rpc_endpoint prior to trying endpoint. we probably need to attempt to use the rpc_endpoint address first, and then fall back to the gossip endpoint if we don't get what we want."
F140	Hadoop) accept comma delimited lists of initial thrift connections. Unify support across different map/reduce related classes for comma seperated list of hosts for initial thrift port connection.
F141	ColumnFamily min_compaction_threshold should be >= 2. cassandra-cli allows setting min_compaction_threshold to 1.
F142	"Pig) add 0.8+ types and key validation type in schema. Pig Storage Handler: Add >=0.8.1 types, Guess right type for Key in Schema. "
F143	Fix completely removing column metadata using CLI. unable to remove column metadata via CLI. 
F144	CLI `describe cluster;` output should be on separate lines for separate versions. Schema versions output should be on separate lines for separate versions.C
F145	fix changing durable_writes keyspace option during CF creation. creating column family sets durable_writes to true.
F146	"avoid locking on update when no indexes are involved. Avoid lock contention in hint rows.hint writes are keyed by target IP, to make replay efficient. However, this means that we'll hit a lot of lock contention in table.apply where we synchronize for potential index updates."
F147	"fix assertionError during repair with ordered partitioners. AssertionError when adding a node and doing repair, repair hangs. "
F148	correctly serialize key_validation_class for avro. CFM.toAvro() incorrectly serialises key_validation_class defn. 
F149	don't expire counter tombstone after streaming. AssertionError in PrecompactedRow.write via CommutativeRowIndexer during bootstrap
F150	"prevent nodes that failed to join from hanging around forever. If node fails to join a ring it will stay in joining state indefinately. While attempting to add a new node to my ring something went wrong and I had to terminate the node on ec2. After this the node keeps appearing in the ring command in ""joining"" state and never goes away."
F151	remove incorrect optimization from slice read path. ReadResponseSerializer.serializedSize() calculation is wrong.
F152	Fix race in AntiEntropyService. ConcurrentModificationException during nodetool repair.
F153	"""defragment"" rows for name-based queries under STCS. Eagerly re-write data at read time (""superseding / defragmenting""). it will be possible to implement an optimization to eagerly rewrite (""supersede"") data at read time. If a successful read needed to hit more than a certain threshold of sstables, we can eagerly rewrite it in a new sstable. "
F154	Add timing information to cassandra-cli GET/SET/LIST queries. Add timing information to cassandra-cli queries. It would be highly helpful for monitoring cluster health to return ETA on queries in cassandra-cli. MySQL is doing it too and you can switch this feature on in Postgresql and Oracle CLI.
F155	"Only create one CompressionMetadata object per sstable. CompressionMetadata is not shared across threads, we create a new one for each read. The CompressionMetada holds the compressed block offsets in memory. Without being absolutely huge, this is still of non-negligible size as soon as you have a bit of data in the DB. Reallocating this for each read is a very bad idea."
F156	"cleanup usage of StorageService.setMode() StorageService.setMode() is used inconsistently. StorageService.setMode(), which ends up setting the OperationMode attribute of the related mbean, is used inconsistently. In most places, it's used like ""setMode(""MODE: details""), but in a few places, it's used more like a normal log message. To make this attribute more usable through JMX, setMode() should have a signature like setMode(mode, details), where the mode parameter could be an enum (or even just a string, the main thing is just being consistent). The OperationMode JMX attribute should definitely remain a string, though."
F157	"Avoid large array allocation for compressed chunk offsets. Avoid large array allocation for compressed chunk offsets. For each compressed file we keep the chunk offsets in memory (a long[]). The size of this array is directly proportional to the sstable file and the chunk_length_kb used, but say for a 64GB sstable, we're talking ~8MB in memory by default."
F158	fix DecimalType bytebuffer marshalling. Can create a table with DecimalType comparator but CQL explodes trying to actually use it.
F159	fix bug that caused first column in per row indexes to be ignored. PerRowSecondaryIndexes skip the first column on update. PerRowSecondaryIndexes skip the initial field on apply
F160	"add JMX call to clean (failed) repair sessions. Add a JMX call to force cleaning repair sessions (in case they are hang up). A repair session contains many parts, most of which are not local to the node (implying the node waits on those operation). You request merkle trees, then you schedule streaming (and in 1.0.0, some of the streaming don't involve the local node itself). It's lots of place where something can go wrong, and if so it leaves the repair hanging and as a consequence it leaves a repairSessions tasks sitting active on the 'AntiEntropy Session' executor."
F161	fix sstableloader reference acquisition bug. sstableloader fails. 
F162	fix estimated row size regression. estimated row sizes regression.
F163	"make sure we don't return more columns than asked. Short reads protection results in returning more columns than asked for. When we detect a short read (in SP.fetchRows), we retry a new command created by: Quorum returns incorrect results during hinted handoff"
F164	acquire compactionlock during truncate. Truncate disregards running compactions when deleting sstables. All truncation do is `cfs.markCompacted(truncatedSSTables)` without holding any lock or anything. 
F165	"fix displaying cfdef entries for super columnfamilies. show schema fails. following command breaks ""show schema"" cli command with error ""A long is exactly 8 bytes: 5""."
F166	"revert name-based query defragmentation. Eagerly re-write data at read time.  it will be possible to implement an optimization to eagerly rewrite (""supersede"") data at read time. If a successful read needed to hit more than a certain threshold of sstables, we can eagerly rewrite it in a new sstable, and 2498 will allow only that file to be accessed. This basic approach would improve read performance considerably, but would cause a lot of duplicate data to be written, and would make compaction's work more necessary. Recursion bug in CollationController. "
F167	"fix invalidate-related test failures. invalidate / unregisterSSTables is confused. invalidate doesn't call unregisterSSTables, and vice versa, making it easy to get yourself into a situation that ""shouldn't happen."""
F168	add next-gen cqlsh to bin. cqlsh 2.0 I'd like to see some improvements to cqlsh to bring it to feature parity. cqlsh doesn't work on windows. cqlsh complains when you try to do UPDATE with counter columns.
F169	"(CQL) fix handling of rows with no columns. Selecting just the row_key returns nil instead of just the row_key.CREATE KEYSPACE CassandraCQLTestKeyspace WITH strategy_class='org.apache.cassandra.locator.SimpleStrategy' AND strategy_options:replication_factor=1 USE CassandraCQLTestKeyspace."
F170	fix querying supercolumns by name returning only a subset of subcolumns or old subcolumn versions. Problem SliceByNamesReadCommand on super column family after flush operation.
F171	"automatically compute sha1 sum for uncompressed data files. Automatically create SHA1 of new sstables. Compressed sstables have block checksums which is great but non-compressed sstables don't for technical/compatibility reasons that I'm not criticizing. It's a bit annoying because when someone comes up with a corrupted file, we really have nothing to help discarding it as bitrot or not. However, it would be fairly trivial/cheap to compute the SHA1 (or other) of whole sstables when creating them. And if it's a new, separate, sstable component, we don't even have to implement anything to check the hash. It would only be there to (manually) check for bitrot when corruption is suspected by the user, or to say check the integrity of backups."
F172	fix reading metadata/statistics component for version. SSTableMetadata deserialization works but looks broken. 
F173	add sstable forward-compatibility. Add support for sstable forwards-compatibility.
F174	report compression ratio in CFSMBean. report compression ratio in CFSMBean.(should expose in nodetool cfstats as well).
F175	"fix incorrect size exception during streaming of counters. During repair, ""incorrect data size"" & ""Connection reset"" errors. Repair unable to complete."
F176	(CQL) fix for counter decrement syntax. Counter decrements require a space around the minus sign but not around the plus sign. 
F177	Fix race introduced by CASSANDRA-2503. Flush Assertion Error - CF size changed during serialization.
F178	Fix incomplete deletion of delivered hints. Hinted handoff not working after rolling upgrade. While testing rolling upgrades from 0.8.7 to 1.0.2 on a test cluster I've noticed that hinted hand-off didn't always work properly. Hints generated on an upgraded node does not seem to be delivered to other newly upgraded nodes once they rejoin the ring. They only way I've found to get a node to deliver its hints is to restart it.
